02586957-a,302171017-s
02586957-a,302171017-s
02594674-v,none
02594674-v,none
02594674-v,none
02598211-a,303158967-a
02598211-a,303158967-a
02598211-a,303158967-a
02598494-a,303159196-a
02599509-a,none
02599754-v,200680696-v
02667900-v,201185870-v
02667900-v,201185870-v
02667900-v,201185870-v
02677232-n,none
02678528-n,none
02678528-n,none
02683183-n,none
02687822-a,none
02695321-n,none
02695321-n,none
02695321-n,none
02696384-n,none
02696384-n,none
02698036-n,none
02698036-n,none
02699343-n,none
02699343-n,none
02702304-n,none
02702304-n,none
02702575-n,none
02702575-n,none
02702575-n,none
02702809-n,none
02702809-n,none
02703894-n,none
02703894-n,none
02703894-n,none
02703894-n,none
02703894-n,none
02703894-n,none
02705651-n,none
02705651-n,none
02705651-n,none
02705651-n,none
02706373-n,none
02706373-n,none
02711890-n,none
02711890-n,none
02711890-n,none
02712134-n,none
02712280-n,none
02712393-n,none
02713769-n,102716628-n;102716929-n
02725548-a,none
02731629-n,none
02731629-n,none
02731629-n,none
02747915-n,none
02747915-n,none
02751782-n,none
02751782-n,none
02754421-n,none
02754421-n,none
02765247-n,none
02765247-n,none
02765429-n,none
02765429-n,none
02765429-n,none
02765429-n,none
02765656-n,none
02765656-n,none
02765868-n,none
02765868-n,none
02786058-n,none
02830596-n,none
02830596-n,none
02889516-a,302881105-a
02905422-n,none
02905422-n,none
02911890-n,none
02911890-n,none
02926044-n,none
02926044-n,none
02930214-n,none
02930214-n,none
02958002-n,none
02958002-n,none
02983507-n,none
02989178-n,none
02989178-n,none
02989313-n,none
02989313-n,none
02989475-n,none
02989475-n,none
02989685-n,none
02989685-n,none
02989685-n,none
02989893-n,none
02989893-n,none
02990103-n,none
02990103-n,none
02990103-n,none
02990561-n,none
02990561-n,none
02996249-n,none
02996249-n,none
02996249-n,none
02996249-n,none
02996570-n,none
02996570-n,none
02996840-n,none
02996840-n,none
02997292-n,none
02998209-n,none
02998209-n,none
03019434-n,none
03021531-n,none
03021531-n,none
03022041-n,none
03022041-n,none
03022041-n,none
03022788-n,none
03022788-n,none
03022978-n,none
03022978-n,none
03022978-n,none
03023175-n,none
03023175-n,none
03023415-n,none
03023415-n,none
03023623-n,none
03023623-n,none
03023623-n,none
03031553-n,none
03031553-n,none
03032576-n,none
03032576-n,none
03045457-a,none
03047353-n,none
03047353-n,none
03048094-n,none
03048094-n,none
03048094-n,none
03048412-n,none
03048412-n,none
03048598-n,none
03048598-n,none
03053272-n,none
03053272-n,none
03073296-n,none
03108077-a,none
03121190-n,none
03130866-n,none
03133878-n,none
03155334-n,none
03155334-n,none
03157582-n,none
03157582-n,none
03158414-n,none
